2020-04-21 07:11:10: "fetchingTotal: 129"
2020-04-21 07:11:10: "fetchingProcessed: 129"
2020-04-21 07:11:10: "createLocal: 73"
2020-04-21 07:11:10: "Total folders: 5"
2020-04-21 07:11:10: "Total notes: 16"
2020-04-21 07:11:10: "Total resources: 36"
2020-04-21 07:11:11: "DecryptionWorker: cannot start because no master key is currently loaded."
2020-04-21 07:11:11: "ResourceFetcher: Auto-add resources: Mode: always"
2020-04-21 07:11:11: "ResourceFetcher: Auto-added resources: 0"
2020-04-21 07:11:11: "ResourceFetcher: Auto-add resources: Mode: always"
2020-04-21 07:11:11: "ResourceFetcher: Auto-added resources: 0"
2020-04-21 07:11:12: "ResourceFetcher: Auto-add resources: Mode: always"
2020-04-21 07:11:12: "ResourceFetcher: Auto-added resources: 0"
2020-04-21 07:11:17: "SearchEngine: Updating FTS table..."
2020-04-21 07:11:17: "SearchEngine: Updated FTS table in 80ms. Inserted: 6. Deleted: 0"
2020-04-21 07:11:25: "Scheduling sync operation...", "30000"
2020-04-21 07:11:25: "Scheduling sync operation...", "30000"
2020-04-21 07:11:25: "Scheduling sync operation...", "30000"
2020-04-21 07:11:25: "Scheduling sync operation...", "30000"
2020-04-21 07:11:25: "Scheduling sync operation...", "30000"
2020-04-21 07:11:29: "Scheduling sync operation...", "30000"
2020-04-21 07:11:29: "Scheduling sync operation...", "30000"
2020-04-21 07:11:29: "Scheduling sync operation...", "30000"
2020-04-21 07:11:29: "Scheduling sync operation...", "30000"
2020-04-21 07:11:29: "Scheduling sync operation...", "30000"
2020-04-21 07:11:29: "Scheduling sync operation...", "30000"
2020-04-21 07:11:35: "SearchEngine: Updating FTS table..."
2020-04-21 07:11:36: "SearchEngine: Updated FTS table in 67ms. Inserted: 0. Deleted: 9"
